Evercraft CHUM Crawler Radar
Generated: 2026-09-26T20:52:09.989Z
Observed crawler-like requests: 0
Negative provider pickup receipts: 146
Strike-now surfaces: 1955

1. [strike_now] score=246 /chum/products/forensiscope/ai-conformance.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
2. [strike_now] score=246 /chum/products/forensiscope/ai-discovery.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
3. [strike_now] score=243 /chum/intents/forensiscope-evidence-review-v1/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
4. [strike_now] score=239 /chum/products/forensiscope/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
5. [strike_now] score=239 /chum/products/forensiscope/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
6. [strike_now] score=238 /forensiscope/editorial/deduplicate-long-video-segments/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
7. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-assemblyai/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
8. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-azure-video-indexer/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
9. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-nvidia-vss/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
10. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-echosaw/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
11. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-gemini/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
12. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-k2/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
13. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-twelve-labs/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
14. [strike_now] score=238 /forensiscope/editorial/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
15. [strike_now] score=238 /forensiscope/editorial/long-video-ai-tools/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
16. [strike_now] score=238 /forensiscope/editorial/video-too-large-for-chatgpt/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
17. [strike_now] score=231 /forensiscope/developers/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
18. [strike_now] score=231 /forensiscope/distribution/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
19. [strike_now] score=231 /forensiscope/mesh/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
20. [strike_now] score=222 /chum/answers/doors/15-gb-video-analysis-0f57ef2f90.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
42. [strike_now] score=222 /chum/answers/doors/airport-parking-management-software-e93ff18ae4.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
43. [strike_now] score=222 /chum/answers/doors/analyze-a-document-dump-a54d61f378.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
44. [strike_now] score=222 /chum/answers/doors/analyze-a-long-video-2badf65989.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
45. [strike_now] score=222 /chum/answers/doors/analyze-an-entire-huge-video-f49eeef64e.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
46. [strike_now] score=222 /chum/answers/doors/analyze-hours-of-video-or-audio-092575817d.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
47. [strike_now] score=222 /chum/answers/doors/analyze-long-form-evidence-05fc431e5d.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
48. [strike_now] score=222 /chum/answers/doors/analyze-our-purchase-approval-process-0ba95e1d06.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
49. [strike_now] score=222 /chum/answers/doors/analyze-this-messy-erp-export-1be6680d97.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
50. [strike_now] score=222 /chum/answers/doors/analyze-three-way-match-problems-5a67f2b505.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
51. [strike_now] score=222 /chum/answers/doors/analyze-video-from-a-cloud-storage-url-54d8d24e91.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
52. [strike_now] score=222 /chum/answers/doors/apartment-ev-charging-site-analysis-a4fc7910cc.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
53. [strike_now] score=222 /chum/answers/doors/apartment-ev-charging-site-analysis-a4fc7910cc/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
54. [strike_now] score=222 /chum/answers/doors/application-network-continuity-3ac8582e22.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
55. [strike_now] score=222 /chum/answers/doors/application-network-that-reconnects-across-changing-authorized-internet-paths-3f92268565.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
56. [strike_now] score=222 /chum/answers/doors/as-400-modernization-11f60c6d3a.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
57. [strike_now] score=222 /chum/answers/doors/as-400-modernization-assessment-49430f448e.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
58. [strike_now] score=222 /chum/answers/doors/as-400-modernization-assessment-49430f448e/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
59. [strike_now] score=222 /chum/answers/doors/asl-and-deaf-culture-learning-960d5b1784.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
60. [strike_now] score=222 /chum/answers/doors/assess-an-ibm-i-or-as-400-estate-before-upgrading-70ac865541.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
61. [strike_now] score=222 /chum/answers/doors/assess-an-ibm-i-or-as-400-estate-before-upgrading-70ac865541/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
62. [strike_now] score=222 /chum/answers/doors/audio-too-large-for-ai-a786a94fa2.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
63. [strike_now] score=222 /chum/answers/doors/audio-too-long-for-ai-e40950a338.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
64. [strike_now] score=222 /chum/answers/doors/audit-an-enterprise-operations-process-0e1ca78c9c.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
65. [strike_now] score=222 /chum/answers/doors/audit-app-portability-72cf49e062.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
66. [strike_now] score=222 /chum/answers/doors/audit-my-ai-agents-and-automations-for-persistence-fa3a1c24fc.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
67. [strike_now] score=222 /chum/answers/doors/audit-my-n8n-make-zapier-cloud-function-or-webhook-stack-for-hidden-persistence-30c6cd575f.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
68. [strike_now] score=222 /chum/answers/doors/audit-my-resume-4c2e67ee30.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
69. [strike_now] score=222 /chum/answers/doors/audit-my-website-30703ed3ed.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
70. [strike_now] score=222 /chum/answers/doors/audit-my-website-30703ed3ed/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
71. [strike_now] score=222 /chum/answers/doors/audit-my-website-because-traffic-is-not-converting-149d02facc.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
72. [strike_now] score=222 /chum/answers/doors/audit-our-procure-to-pay-workflow-85d46fbcf6.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
73. [strike_now] score=222 /chum/answers/doors/audit-purchase-approvals-without-replacing-accounting-239a7c1f00.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
74. [strike_now] score=222 /chum/answers/doors/audit-the-source-trail-behind-a-sports-result-6914da0f9e.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
75. [strike_now] score=222 /chum/answers/doors/audit-this-dataset-for-gaps-2587bf5b7d.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
76. [strike_now] score=222 /chum/answers/doors/audit-this-freight-load-for-exceptions-b5dc37f994.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
77. [strike_now] score=222 /chum/answers/doors/audit-this-paperback-export-c84fe388e8.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
78. [strike_now] score=222 /chum/answers/doors/automate-this-workflow-2bf95f92d8.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
79. [strike_now] score=222 /chum/answers/doors/automation-persistence-f812c17c66.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
80. [strike_now] score=222 /chum/answers/doors/be-brutally-honest-about-this-copy-32a18cde5f.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
81. [strike_now] score=222 /chum/answers/doors/behavioral-interview-practice-8dfc51b114.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
82. [strike_now] score=222 /chum/answers/doors/bilingual-field-supervisor-training-bdd1126970.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
83. [strike_now] score=222 /chum/answers/doors/bilingual-workforce-training-for-frontline-employees-cd40ddd943.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
84. [strike_now] score=222 /chum/answers/doors/boost-event-visibility-0b3d061df2.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
85. [strike_now] score=222 /chum/answers/doors/boost-this-event-02f04ebd41.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
86. [strike_now] score=222 /chum/answers/doors/browser-automation-api-0925c49aa4.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
87. [strike_now] score=222 /chum/answers/doors/browser-automation-api-for-an-ai-agent-4865230391.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
88. [strike_now] score=222 /chum/answers/doors/brutally-critique-this-message-d550264762.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
89. [strike_now] score=222 /chum/answers/doors/build-a-contractor-estimate-from-this-scope-e9fbacf2bd.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
90. [strike_now] score=222 /chum/answers/doors/build-a-contractor-estimate-from-this-scope-e9fbacf2bd/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
91. [strike_now] score=222 /chum/answers/doors/build-a-factual-unwanted-call-incident-timeline-242d097258.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
92. [strike_now] score=222 /chum/answers/doors/build-a-lender-ready-deck-592e365c97.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
93. [strike_now] score=222 /chum/answers/doors/build-a-professional-roster-instead-of-a-social-feed-03d0d56ace.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
94. [strike_now] score=222 /chum/answers/doors/build-a-professional-website-for-my-small-business-476ef02530.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
95. [strike_now] score=222 /chum/answers/doors/build-a-rollback-test-and-evidence-plan-before-changing-an-ibm-i-production-system-030d199287.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
96. [strike_now] score=222 /chum/answers/doors/build-a-rollback-test-and-evidence-plan-before-changing-an-ibm-i-production-system-030d199287/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
97. [strike_now] score=222 /chum/answers/doors/build-a-sourced-brief-about-farm-water-land-or-production-risk-baefc8483b.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
98. [strike_now] score=222 /chum/answers/doors/build-a-talent-profile-from-this-portfolio-613dec5ab1.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
99. [strike_now] score=222 /chum/answers/doors/build-a-timestamped-timeline-from-a-recording-7e665162c9.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
100. [strike_now] score=222 /chum/answers/doors/build-a-trusted-professional-referral-network-10f9c4df44.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending

Truth boundary: self-identified crawler requests are attention evidence only. They do not prove indexing, ranking, citation, recommendation, training use, or conversion.
